10進数      2進数       8進数     16進数
--------------------------------------
1　         0　　　　　　  1　　　　　1
2        　 1            2        2
3          10            3        3
4          11            4        4
5          100           5        5
6          101           6        6
7          111           7        7
8          1000          10       8
9          1001          11       9
10         1010          12       A
11         1011          13       B
12         1100          14       C
13         1101          15       D
14         1110          16       E
15         1111          17       F
16         10000         20       10
